#,id,utc-time,exp(sec),n_filt0,n_filt1,n_filt2,n_filt3,n_filt4,s_filt0,s_filt1,s_filt2,s_filt3,s_filt4,n_raw0,n_raw1,n_raw2,n_raw3,n_raw4,s_raw0,s_raw1,s_raw2,s_raw3,s_raw4outputForm,fullFrame
2869,2023-02-27,22:41:07.766,45.000,1494,98,283,198,915,323178,15166,36947,146034,125031,21746,2905,4248,6351,8242,1083165,108602,189941,376408,408214,160,0
2870,2023-02-27,22:44:12.226,45.000,193,32,43,44,74,190983,14755,7557,119753,48918,17286,3064,2832,4887,6503,1011159,142707,112978,367931,387543,160,0
2871,2023-02-27,22:47:15.348,45.000,212,26,47,44,95,151332,4340,12391,71763,62838,15484,2787,3596,3893,5208,771199,111874,181604,170653,307068,160,0
2872,2023-02-27,22:50:18.851,45.000,287,49,57,78,103,110605,5967,24953,17481,62204,17412,2692,3421,5572,5727,799222,93726,159506,259575,286415,160,0
2873,2023-02-27,22:53:22.198,37.000,6514,595,1563,796,3560,513679,29763,96633,95070,292213,28005,3749,6660,5873,11723,1461788,149550,301968,325566,684704,160,0
2874,2023-02-27,22:55:53.904,3.250,6635,486,1460,824,3865,653828,31059,118020,91312,413437,22776,1703,5296,3645,12132,1113822,45273,178840,179487,710222,160,0
2875,2023-02-27,22:56:07.528,2.950,6541,395,1482,791,3873,802439,28965,153084,82131,538259,24782,1563,6182,3881,13156,1362532,41215,236381,166981,917955,160,0
2876,2023-02-27,22:56:19.884,4.100,6504,445,1444,750,3865,872854,38598,170362,90362,573532,25838,2154,6194,4074,13416,1469679,62539,253789,188532,964819,160,0
2877,2023-02-27,22:56:37.109,2.100,6669,487,1515,875,3792,955618,41709,195173,96410,622326,27029,2143,6787,4432,13667,1573926,61466,289686,177780,1044994,160,0
2878,2023-02-27,22:56:45.947,2.350,6662,446,1535,869,3812,981679,40640,198679,118546,623814,27475,1966,6905,4775,13829,1581399,58332,296195,205644,1021228,160,0
2879,2023-02-27,22:56:55.865,3.400,6553,514,1620,872,3547,997717,47113,226159,129970,594475,28370,2575,7166,4846,13783,1582435,76677,328253,207863,969642,160,0
2880,2023-02-27,22:57:10.144,3.400,6501,507,1522,874,3598,991637,45451,187679,166818,591689,27925,2559,6881,4936,13549,1521104,80445,287118,220334,933207,160,0
2881,2023-02-27,22:58:00.275,2.450,6514,471,1314,989,3740,1067715,49674,171508,138099,708434,28281,2437,6369,5461,14014,1779903,73564,255854,265580,1184905,160,0
2882,2023-02-27,23:00:00.273,45.000,365,61,92,61,151,41610,4740,9656,17466,9748,9479,1543,1692,2760,3484,471170,57317,66594,183758,163501,160,0
2883,2023-02-27,23:03:02.403,45.000,117,26,21,22,48,63526,4624,2485,48968,7449,9151,600,1287,2466,4798,684748,18408,40980,169203,456157,160,0
2884,2023-02-27,23:06:03.625,45.000,98,27,17,20,34,51902,2541,1414,42702,5245,3827,707,582,1641,897,229981,22019,21624,130927,55411,160,0
2885,2023-02-27,23:09:03.825,45.000,70,13,4,22,31,27529,1047,185,22100,4197,2419,239,696,823,661,182663,6072,24056,103868,48667,160,0
2886,2023-02-27,23:12:03.767,45.000,85,21,21,16,27,48959,2479,4907,36438,5135,3222,520,885,769,1048,162073,14798,30390,53514,63371,160,0
2887,2023-02-27,23:15:04.036,45.000,74,10,22,15,27,48490,497,6117,29405,12471,2000,152,454,709,685,149858,5430,14806,70962,58660,160,0
2888,2023-02-27,23:18:03.989,45.000,104,25,17,41,21,32979,5054,4163,20752,3010,7879,1708,1816,1387,2968,387804,71909,97186,65652,153057,160,0
2889,2023-02-27,23:21:05.282,45.000,151,30,46,33,42,86027,7585,7098,65872,5472,9762,1836,1543,3215,3168,445766,60733,65083,158513,161437,160,0
2890,2023-02-27,23:24:06.805,34.850,6501,731,1738,890,3142,787885,64512,186067,111677,425629,32257,4765,7804,6740,12948,1817408,191301,356828,347543,921736,160,0
2891,2023-02-27,23:26:30.621,8.250,6541,511,1383,832,3815,911775,47458,150090,131572,582655,29046,3189,6763,5547,13547,1933083,112415,440498,249808,1130362,160,0
2892,2023-02-27,23:27:05.121,10.850,6505,393,1215,800,4097,937232,32793,145128,143279,616032,26829,2030,6114,5321,13364,1551597,72937,247155,298819,932686,160,0
2893,2023-02-27,23:27:50.966,45.000,3893,319,823,461,2290,350530,21761,57791,51326,219652,24927,3625,5637,5189,10476,1238920,146044,257299,226427,609150,160,0
2894,2023-02-27,23:31:00.401,45.000,238,41,70,57,70,114164,8658,7464,45478,52564,18024,3486,3578,5143,5817,965339,155465,154453,234848,420573,160,0
