#  date    time         flags   command
2017-08-25 18:39:40	P	x pwr 1
2017-08-25 18:39:50	P	x sp 405 1000 70 0 1 47 80 50 20
2017-08-25 18:39:55	P	x hkd
2017-08-25 18:40:05	P	x ms
2017-08-25 18:45:05	P	x ms
2017-08-25 18:50:05	P	x ms
2017-08-25 18:55:05	P	x ms
2017-08-25 19:00:05	P	x ms
2017-08-25 19:05:05	P	x ms
2017-08-25 19:10:00	P	x pwr 1
2017-08-25 19:10:05	P	x ms
2017-08-25 19:15:05	P	x ms
2017-08-25 19:20:05	P	x ms
2017-08-25 19:25:05	P	x ms
2017-08-25 19:30:05	P	x ms
2017-08-25 19:35:05	P	x ms
2017-08-25 19:40:00	P	x pwr 1
2017-08-25 19:40:05	P	x ms
2017-08-25 19:45:05	P	x ms
2017-08-25 19:50:05	P	x ms
2017-08-25 19:55:05	P	x ms
2017-08-25 20:00:05	P	x ms
2017-08-25 20:15:05	P	x ms
2017-08-25 20:20:00	P	x pwr 1
2017-08-25 20:20:05	P	x ms
2017-08-25 20:25:05	P	x ms
2017-08-25 20:30:05	P	x ms
2017-08-25 20:35:05	P	x ms
2017-08-25 20:40:05	P	x ms
2017-08-25 20:45:05	P	x ms
2017-08-25 20:50:00	P	x pwr 1
2017-08-25 20:50:05	P	x ms
2017-08-25 20:55:05	P	x ms
2017-08-25 21:00:05	P	x ms
2017-08-25 21:05:05	P	x ms
2017-08-25 21:10:05	P	x ms
2017-08-25 21:15:05	P	x ms
2017-08-25 21:20:00	P	x pwr 1
2017-08-25 21:20:05	P	x ms
2017-08-25 21:25:05	P	x ms
2017-08-25 21:30:05	P	x ms
2017-08-25 21:35:05	P	x ms
2017-08-25 21:50:05	P	x ms
2017-08-25 22:00:05	P	x ms
2017-08-25 22:05:00	P	x pwr 1
2017-08-25 22:05:05	P	x ms
2017-08-25 22:10:05	P	x ms
2017-08-25 22:15:05	P	x ms
2017-08-25 22:20:05	P	x ms
2017-08-25 22:25:05	P	x ms
2017-08-25 22:30:05	P	x ms
2017-08-25 22:35:00	P	x pwr 1
2017-08-25 22:35:05	P	x ms
2017-08-25 22:40:05	P	x ms
2017-08-25 22:45:05	P	x ms
2017-08-25 22:50:05	P	x ms
2017-08-25 22:55:05	P	x ms
2017-08-25 23:00:05	P	x ms
2017-08-25 23:05:00	P	x pwr 1
2017-08-25 23:05:05	P	x ms
2017-08-25 23:10:05	P	x ms
2017-08-25 23:15:05	P	x ms
2017-08-25 23:20:05	P	x ms
2017-08-25 23:25:05	P	x ms
2017-08-25 23:30:05	P	x ms
2017-08-25 23:35:00	P	x pwr 1
2017-08-25 23:35:05	P	x ms
2017-08-25 23:40:05	P	x ms
2017-08-25 23:45:05	P	x ms
2017-08-25 23:50:05	P	x ms
2017-08-25 23:55:05	P	x ms
2017-08-26 00:00:05	P	x ms
2017-08-26 00:05:00	P	x pwr 1
2017-08-26 00:05:05	P	x ms
2017-08-26 00:10:05	P	x ms
2017-08-26 00:15:05	P	x ms
2017-08-26 00:20:05	P	x ms
2017-08-26 00:25:05	P	x ms
2017-08-26 00:30:05	P	x ms
2017-08-26 00:35:00	P	x pwr 1
2017-08-26 00:35:05	P	x ms
2017-08-26 00:40:05	P	x ms
2017-08-26 00:45:05	P	x ms
2017-08-26 00:50:05	P	x ms
2017-08-26 00:55:05	P	x ms
2017-08-26 01:00:05	P	x ms
2017-08-26 01:05:05	P	x pwr 0
